clave,valor,subcategoria,uso,grupo,grupo_nombre,tipo_de_regla
"shop","telecommunication","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","etiqueta OSM"
"shop","video_games","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","etiqueta OSM"
"shop","butcher","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","cheese","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","chocolate","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","convenience","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","dairy","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","deli","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","farm","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","food","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","frozen_food","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","general","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","greengrocer","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","grocery","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","health_food","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","kiosk","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","nuts","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","seafood","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","spices","tienda_barrio","Tienda de barrio","comercio","Comercio y economía","etiqueta OSM"
"shop","bicycle","tienda_deportes","Tienda deportiva","comercio","Comercio y economía","etiqueta OSM"
"shop","fishing","tienda_deportes","Tienda deportiva","comercio","Comercio y economía","etiqueta OSM"
"shop","hunting","tienda_deportes","Tienda deportiva","comercio","Comercio y economía","etiqueta OSM"
"shop","outdoor","tienda_deportes","Tienda deportiva","comercio","Comercio y economía","etiqueta OSM"
"shop","sports","tienda_deportes","Tienda deportiva","comercio","Comercio y economía","etiqueta OSM"
"name/brand","ara","tienda_descuento","Tienda de descuento","comercio","Comercio y economía","marca reconocida"
"name/brand","d1","tienda_descuento","Tienda de descuento","comercio","Comercio y economía","marca reconocida"
"name/brand","dollarcity","tienda_descuento","Tienda de descuento","comercio","Comercio y economía","marca reconocida"
"name/brand","justo bueno","tienda_descuento","Tienda de descuento","comercio","Comercio y economía","marca reconocida"
"name/brand","surtimax","tienda_descuento","Tienda de descuento","comercio","Comercio y economía","marca reconocida"
"shop","art","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"name","bazar","variedades","Variedades / Regalos","comercio","Comercio y economía","palabra en el nombre"
"name","cacharreria","variedades","Variedades / Regalos","comercio","Comercio y economía","palabra en el nombre"
"shop","charity","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","collector","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","craft","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","erotic","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","games","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","gift","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","music","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","musical_instrument","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","party","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"name","regalos","variedades","Variedades / Regalos","comercio","Comercio y economía","palabra en el nombre"
"shop","religion","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","ticket","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"name","todo a mil","variedades","Variedades / Regalos","comercio","Comercio y economía","palabra en el nombre"
"shop","toys","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"name","variedades","variedades","Variedades / Regalos","comercio","Comercio y economía","palabra en el nombre"
"shop","variety_store","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","video","variedades","Variedades / Regalos","comercio","Comercio y economía","etiqueta OSM"
"shop","agrarian","vivero","Vivero / Floristería","comercio","Comercio y economía","etiqueta OSM"
"name","agroinsumos","vivero","Vivero / Floristería","comercio","Comercio y economía","palabra en el nombre"
"name","agropecuaria","vivero","Vivero / Floristería","comercio","Comercio y economía","palabra en el nombre"
"shop","florist","vivero","Vivero / Floristería","comercio","Comercio y economía","etiqueta OSM"
"name","floristeria","vivero","Vivero / Floristería","comercio","Comercio y economía","palabra en el nombre"
"shop","garden_centre","vivero","Vivero / Floristería","comercio","Comercio y economía","etiqueta OSM"
"shop","houseplant","vivero","Vivero / Floristería","comercio","Comercio y economía","etiqueta OSM"
"name","vivero","vivero","Vivero / Floristería","comercio","Comercio y economía","palabra en el nombre"
"amenity","driving_school","capacitacion","Centro de formación","cultura","Cultura, educación y culto","etiqueta OSM"
"office","educational_institution","capacitacion","Centro de formación","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","language_school","capacitacion","Centro de formación","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","music_school","capacitacion","Centro de formación","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","prep_school","capacitacion","Centro de formación","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","training","capacitacion","Centro de formación","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","childcare","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","etiqueta OSM"
"name/brand","colegio","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","marca reconocida"
"name","colegio","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","palabra en el nombre"
"landuse","education","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","etiqueta OSM"
"name","escuela","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","palabra en el nombre"
"name/brand","gimnasio campestre","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","marca reconocida"
"name","gimnasio campestre","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","palabra en el nombre"
"name/brand","gimnasio moderno","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","marca reconocida"
"name","gimnasio moderno","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","palabra en el nombre"
"name/brand","institucion educativa","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","marca reconocida"
"name","institucion educativa","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","palabra en el nombre"
"name/brand","jardin infantil","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","marca reconocida"
"name","jardin infantil","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","palabra en el nombre"
"amenity","kindergarten","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","etiqueta OSM"
"building","kindergarten","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","etiqueta OSM"
"name/brand","liceo","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","marca reconocida"
"name","liceo","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","palabra en el nombre"
"name","preescolar","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","palabra en el nombre"
"amenity","school","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","etiqueta OSM"
"building","school","colegio","Colegio / Jardín","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","arts_centre","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"tourism","artwork","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"tourism","attraction","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"name","biblioteca","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","palabra en el nombre"
"name","casa de la cultura","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","palabra en el nombre"
"name","centro cultural","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","palabra en el nombre"
"amenity","cinema","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","community_centre","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"tourism","gallery","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","library","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"name","ludoteca","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","palabra en el nombre"
"name","museo","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","palabra en el nombre"
"tourism","museum","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","music_venue","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","planetarium","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","social_centre","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","studio","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"name","teatro","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","palabra en el nombre"
"amenity","theatre","cultural","Equipamiento cultural","cultura","Cultura, educación y culto","etiqueta OSM"
"name","capilla","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","palabra en el nombre"
"building","cathedral","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","etiqueta OSM"
"name","centro cristiano","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","palabra en el nombre"
"building","chapel","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","etiqueta OSM"
"building","church","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","etiqueta OSM"
"name","congregacion","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","palabra en el nombre"
"name","iglesia","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","palabra en el nombre"
"amenity","monastery","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","etiqueta OSM"
"building","mosque","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","etiqueta OSM"
"name","parroquia","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","palabra en el nombre"
"amenity","place_of_worship","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","etiqueta OSM"
"landuse","religious","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","etiqueta OSM"
"building","synagogue","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","etiqueta OSM"
"building","temple","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","etiqueta OSM"
"name","templo","iglesia","Iglesia / Culto","cultura","Cultura, educación y culto","palabra en el nombre"
"amenity","college","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","etiqueta OSM"
"building","college","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","etiqueta OSM"
"name/brand","instituto tecnico","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","marca reconocida"
"name/brand","politecnico","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","marca reconocida"
"office","research","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","etiqueta OSM"
"amenity","research_institute","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","etiqueta OSM"
"name/brand","sena","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","marca reconocida"
"name/brand","udes","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","marca reconocida"
"name/brand","ufps","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","marca reconocida"
"name/brand","uniminuto","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","marca reconocida"
"name/brand","unipamplona","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","marca reconocida"
"name/brand","universidad","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","marca reconocida"
"amenity","university","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","etiqueta OSM"
"building","university","universidad","Universidad / Instituto","cultura","Cultura, educación y culto","etiqueta OSM"
"name","bodega","bodega","Bodega / Logística","industria","Industria y logística","palabra en el nombre"
"name","deposito","bodega","Bodega / Logística","industria","Industria y logística","palabra en el nombre"
"landuse","depot","bodega","Bodega / Logística","industria","Industria y logística","etiqueta OSM"
"name","distribuciones","bodega","Bodega / Logística","industria","Industria y logística","palabra en el nombre"
"name","distribuidora","bodega","Bodega / Logística","industria","Industria y logística","palabra en el nombre"
"building","hangar","bodega","Bodega / Logística","industria","Industria y logística","etiqueta OSM"
"amenity","loading_dock","bodega","Bodega / Logística","industria","Industria y logística","etiqueta OSM"
"name","logistica","bodega","Bodega / Logística","industria","Industria y logística","palabra en el nombre"
"office","logistics","bodega","Bodega / Logística","industria","Industria y logística","etiqueta OSM"
"name","mayorista","bodega","Bodega / Logística","industria","Industria y logística","palabra en el nombre"
"shop","storage_rental","bodega","Bodega / Logística","industria","Industria y logística","etiqueta OSM"
"building","warehouse","bodega","Bodega / Logística","industria","Industria y logística","etiqueta OSM"
"landuse","industrial","industria","Industria","industria","Industria y logística","etiqueta OSM"
"building","industrial","industria","Industria","industria","Industria y logística","etiqueta OSM"
"landuse","quarry","industria","Industria","industria","Industria y logística","etiqueta OSM"
"amenity","baby_hatch","bienestar_social","Bienestar social del Estado","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","social_facility","bienestar_social","Bienestar social del Estado","institucional","Institucional y gobierno","etiqueta OSM"
"building","civic","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","courthouse","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","customs","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"office","diplomatic","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","embassy","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"office","government","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"building","government","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"landuse","institutional","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"landuse","military","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","post_office","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","prison","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"building","public","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","public_building","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","ranger_station","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","register_office","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"amenity","townhall","gobierno","Entidad pública","institucional","Institucional y gobierno","etiqueta OSM"
"office","lawyer","notaria","Notaría / Jurídico","institucional","Institucional y gobierno","etiqueta OSM"
"office","notary","notaria","Notaría / Jurídico","institucional","Institucional y gobierno","etiqueta OSM"
"name","cai","policia","Policía / CAI","institucional","Institucional y gobierno","palabra en el nombre"
"name","comando de policia","policia","Policía / CAI","institucional","Institucional y gobierno","palabra en el nombre"
"name","estacion de policia","policia","Policía / CAI","institucional","Institucional y gobierno","palabra en el nombre"
"amenity","police","policia","Policía / CAI","institucional","Institucional y gobierno","etiqueta OSM"
"name","caseta comunal","salon_comunal","Salón comunal / multiusos","institucional","Institucional y gobierno","palabra en el nombre"
"name","jac","salon_comunal","Salón comunal / multiusos","institucional","Institucional y gobierno","palabra en el nombre"
"name","junta de accion comunal","salon_comunal","Salón comunal / multiusos","institucional","Institucional y gobierno","palabra en el nombre"
"building","multiusos","salon_comunal","Salón comunal / multiusos","institucional","Institucional y gobierno","etiqueta OSM"
"name","salon comunal","salon_comunal","Salón comunal / multiusos","institucional","Institucional y gobierno","palabra en el nombre"
"office","accountant","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","advertising_agency","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","architect","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","association","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","charity","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","company","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","construction_company","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","consulting","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","coworking","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"amenity","coworking_space","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","employment_agency","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","energy_supplier","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","engineer","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"shop","estate_agent","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","estate_agent","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","financial","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","financial_advisor","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","forestry","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","foundation","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","graphic_design","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"shop","insurance","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","insurance","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","it","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","moving_company","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","newspaper","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","ngo","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"building","office","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","political_party","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","property_management","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","religion","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","security","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","surveyor","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","tax_advisor","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","telecommunication","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"shop","travel_agency","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","travel_agent","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","union","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","visa","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","water_utility","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"office","yes","oficina","Oficina","mixtos","Usos combinados","etiqueta OSM"
"landuse","brownfield","baldio","Lote sin desarrollar","riesgo","Riesgo, deterioro y suelo sin definir","etiqueta OSM"
"landuse","greenfield","baldio","Lote sin desarrollar","riesgo","Riesgo, deterioro y suelo sin definir","etiqueta OSM"
"landuse","construction","en_obra","En obra / Construcción","riesgo","Riesgo, deterioro y suelo sin definir","etiqueta OSM"
"building","construction","en_obra","En obra / Construcción","riesgo","Riesgo, deterioro y suelo sin definir","etiqueta OSM"
"shop","vacant","local_vacio","Local desocupado","riesgo","Riesgo, deterioro y suelo sin definir","etiqueta OSM"
"building","ruins","ruina","Edificación en ruina","riesgo","Riesgo, deterioro y suelo sin definir","etiqueta OSM"
"amenity","fire_station","bomberos","Bomberos / Rescate","salud","Salud y emergencias","etiqueta OSM"
"building","fire_station","bomberos","Bomberos / Rescate","salud","Salud y emergencias","etiqueta OSM"
"name/brand","audifarma","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"shop","chemist","drogueria","Droguería","salud","Salud y emergencias","etiqueta OSM"
"name/brand","colsubsidio drog","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","copservir","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","cruz verde","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","droga la econom","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","drogas olimpica","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","drogueria","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","farmacia","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","farmacia pasteur","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","farmatodo","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","la rebaja","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"name/brand","locatel","drogueria","Droguería","salud","Salud y emergencias","marca reconocida"
"amenity","pharmacy","drogueria","Droguería","salud","Salud y emergencias","etiqueta OSM"
"healthcare","pharmacy","drogueria","Droguería","salud","Salud y emergencias","etiqueta OSM"
"amenity","nursing_home","hogar_cuidado","Hogar geriátrico / cuidado","salud","Salud y emergencias","etiqueta OSM"
"healthcare","rehabilitation","hogar_cuidado","Hogar geriátrico / cuidado","salud","Salud y emergencias","etiqueta OSM"
"amenity","blood_donation","laboratorio","Laboratorio","salud","Salud y emergencias","etiqueta OSM"
"healthcare","blood_donation","laboratorio","Laboratorio","salud","Salud y emergencias","etiqueta OSM"
"name","laboratorio clinico","laboratorio","Laboratorio","salud","Salud y emergencias","palabra en el nombre"
"name","laboratorio medico","laboratorio","Laboratorio","salud","Salud y emergencias","palabra en el nombre"
"healthcare","laboratory","laboratorio","Laboratorio","salud","Salud y emergencias","etiqueta OSM"
"healthcare","sample_collection","laboratorio","Laboratorio","salud","Salud y emergencias","etiqueta OSM"
"healthcare","audiologist","optica","Óptica / Audiología","salud","Salud y emergencias","etiqueta OSM"
"shop","hearing_aids","optica","Óptica / Audiología","salud","Salud y emergencias","etiqueta OSM"
"name","optica","optica","Óptica / Audiología","salud","Salud y emergencias","palabra en el nombre"
"shop","optician","optica","Óptica / Audiología","salud","Salud y emergencias","etiqueta OSM"
"name","optometr","optica","Óptica / Audiología","salud","Salud y emergencias","palabra en el nombre"
"healthcare","optometrist","optica","Óptica / Audiología","salud","Salud y emergencias","etiqueta OSM"
"healthcare","centre","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"name/brand","centro medico","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name","centro medico","salud_ips","IPS / Clínica","salud","Salud y emergencias","palabra en el nombre"
"amenity","clinic","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"healthcare","clinic","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"building","clinic","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"name/brand","clinica","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name","clinica","salud_ips","IPS / Clínica","salud","Salud y emergencias","palabra en el nombre"
"name/brand","colsanitas","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name/brand","compensar","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name/brand","coomeva","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"amenity","dentist","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"healthcare","dentist","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"healthcare","doctor","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"amenity","doctors","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"name/brand","eps","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name","eps","salud_ips","IPS / Clínica","salud","Salud y emergencias","palabra en el nombre"
"name/brand","famisanar","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"amenity","health_post","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"amenity","hospital","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"healthcare","hospital","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"building","hospital","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"name/brand","hospital","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name/brand","ips","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name","ips","salud_ips","IPS / Clínica","salud","Salud y emergencias","palabra en el nombre"
"name/brand","medimas","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"healthcare","midwife","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"name/brand","nueva eps","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"healthcare","physiotherapist","salud_ips","IPS / Clínica","salud","Salud y emergencias","etiqueta OSM"
"name","puesto de salud","salud_ips","IPS / Clínica","salud","Salud y emergencias","palabra en el nombre"
"name/brand","salud total","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name/brand","sanitas","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name/brand","sura","salud_ips","IPS / Clínica","salud","Salud y emergencias","marca reconocida"
"name","unidad basica","salud_ips","IPS / Clínica","salud","Salud y emergencias","palabra en el nombre"
"healthcare","alternative","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","birthing_centre","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","counselling","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","dialysis","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"amenity","first_aid","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"shop","herbalist","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"shop","medical_supply","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","nurse","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"shop","nutrition_supplements","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","occupational_therapist","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","podiatrist","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","psychotherapist","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","speech_therapist","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","vaccination_centre","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"healthcare","yes","salud_otro","Servicio de salud","salud","Salud y emergencias","etiqueta OSM"
"name","agroveterinaria","veterinaria","Veterinaria","salud","Salud y emergencias","palabra en el nombre"
"amenity","animal_boarding","veterinaria","Veterinaria","salud","Salud y emergencias","etiqueta OSM"
"amenity","animal_shelter","veterinaria","Veterinaria","salud","Salud y emergencias","etiqueta OSM"
"shop","pet","veterinaria","Veterinaria","salud","Salud y emergencias","etiqueta OSM"
"name","pet shop","veterinaria","Veterinaria","salud","Salud y emergencias","palabra en el nombre"
"shop","pet_grooming","veterinaria","Veterinaria","salud","Salud y emergencias","etiqueta OSM"
"name","veterinaria","veterinaria","Veterinaria","salud","Salud y emergencias","palabra en el nombre"
"amenity","veterinary","veterinaria","Veterinaria","salud","Salud y emergencias","etiqueta OSM"
